document_name,page_number,block_index,block_type,language,text
ksa-personal-data-protection-law-series-part-1-ar,10,0,title,ar,
ksa-personal-data-protection-law-series-part-1-ar,9,2,paragraph,ar,
ksa-personal-data-protection-law-series-part-1-ar,9,3,list,ar,
ksa-personal-data-protection-law-series-part-1-ar,8,3,table,ar,
ksa-personal-data-protection-law-series-part-1-ar,8,2,table,ar,
ksa-personal-data-protection-law-series-part-1-ar,2,4,paragraph,ar,
ksa-personal-data-protection-law-series-part-1-ar,12,3,paragraph,ar,
ksa-personal-data-protection-law-series-part-1-ar,5,0,title,ar,
ksa-personal-data-protection-law-series-part-1-ar,4,2,list,ar,
ksa-personal-data-protection-law-series-part-1-ar,11,6,footnote,ar,
